"Notes"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"2005"	"2005"	"Embolism and thrombosis of arteries of lower extremities"	"I74.3"	116	295516599	0.0
	"2005"	"2005"	"Embolism and thrombosis of arteries of extremities, unspecified"	"I74.4"	16	295516599	Unreliable
	"2005"	"2005"	"Embolism and thrombosis of iliac artery"	"I74.5"	20	295516599	0.0
	"2005"	"2005"	"Embolism and thrombosis of other arteries"	"I74.8"	34	295516599	0.0
	"2005"	"2005"	"Embolism and thrombosis of unspecified artery"	"I74.9"	311	295516599	0.1
	"2005"	"2005"	"Arteriovenous fistula, acquired"	"I77.0"	48	295516599	0.0
	"2005"	"2005"	"Stricture of artery"	"I77.1"	102	295516599	0.0
	"2005"	"2005"	"Rupture of artery"	"I77.2"	143	295516599	0.0
	"2005"	"2005"	"Arterial fibromuscular dysplasia"	"I77.3"	3	295516599	Unreliable
	"2005"	"2005"	"Coeliac artery compression syndrome"	"I77.4"	3	295516599	Unreliable
	"2005"	"2005"	"Arteritis, unspecified"	"I77.6"	416	295516599	0.1
	"2005"	"2005"	"Other specified disorders of arteries and arterioles"	"I77.8"	24	295516599	0.0
	"2005"	"2005"	"Disorder of arteries and arterioles, unspecified"	"I77.9"	246	295516599	0.1
	"2005"	"2005"	"Hereditary haemorrhagic telangiectasia"	"I78.0"	33	295516599	0.0
	"2005"	"2005"	"Naevus, non-neoplastic"	"I78.1"	12	295516599	Unreliable
	"2005"	"2005"	"Other diseases of capillaries"	"I78.8"	8	295516599	Unreliable
	"2005"	"2005"	"Disease of capillaries, unspecified"	"I78.9"	1	295516599	Unreliable
	"2005"	"2005"	"Phlebitis and thrombophlebitis of femoral vein"	"I80.1"	19	295516599	Unreliable
	"2005"	"2005"	"Phlebitis and thrombophlebitis of other deep vessels of lower extremities"	"I80.2"	2779	295516599	0.9
	"2005"	"2005"	"Phlebitis and thrombophlebitis of lower extremities, unspecified"	"I80.3"	220	295516599	0.1
	"2005"	"2005"	"Phlebitis and thrombophlebitis of other sites"	"I80.8"	10	295516599	Unreliable
	"2005"	"2005"	"Phlebitis and thrombophlebitis of unspecified site"	"I80.9"	80	295516599	0.0
	"2005"	"2005"	"Portal vein thrombosis"	"I81"	92	295516599	0.0
	"2005"	"2005"	"Budd-Chiari syndrome"	"I82.0"	30	295516599	0.0
	"2005"	"2005"	"Thrombophlebitis migrans"	"I82.1"	2	295516599	Unreliable
	"2005"	"2005"	"Embolism and thrombosis of vena cava"	"I82.2"	26	295516599	0.0
	"2005"	"2005"	"Embolism and thrombosis of renal vein"	"I82.3"	6	295516599	Unreliable
	"2005"	"2005"	"Embolism and thrombosis of other specified veins"	"I82.8"	89	295516599	0.0
	"2005"	"2005"	"Embolism and thrombosis of unspecified vein"	"I82.9"	82	295516599	0.0
	"2005"	"2005"	"Varicose veins of lower extremities with ulcer"	"I83.0"	46	295516599	0.0
	"2005"	"2005"	"Varicose veins of lower extremities with inflammation"	"I83.1"	14	295516599	Unreliable
	"2005"	"2005"	"Varicose veins of lower extremities with both ulcer and inflammation"	"I83.2"	5	295516599	Unreliable
	"2005"	"2005"	"Varicose veins of lower extremities without ulcer or inflammation"	"I83.9"	300	295516599	0.1
	"2005"	"2005"	"Internal haemorrhoids without complication"	"I84.2"	3	295516599	Unreliable
	"2005"	"2005"	"Unspecified haemorrhoids with other complications"	"I84.8"	2	295516599	Unreliable
	"2005"	"2005"	"Unspecified haemorrhoids without complication"	"I84.9"	6	295516599	Unreliable
	"2005"	"2005"	"Oesophageal varices with bleeding"	"I85.0"	148	295516599	0.1
	"2005"	"2005"	"Oesophageal varices without bleeding"	"I85.9"	43	295516599	0.0
	"2005"	"2005"	"Pelvic varices"	"I86.2"	1	295516599	Unreliable
	"2005"	"2005"	"Gastric varices"	"I86.4"	36	295516599	0.0
	"2005"	"2005"	"Varicose veins of other specified sites"	"I86.8"	5	295516599	Unreliable
	"2005"	"2005"	"Compression of vein"	"I87.1"	31	295516599	0.0
	"2005"	"2005"	"Venous insufficiency (chronic)(peripheral)"	"I87.2"	54	295516599	0.0
	"2005"	"2005"	"Other specified disorders of veins"	"I87.8"	61	295516599	0.0
	"2005"	"2005"	"Disorder of vein, unspecified"	"I87.9"	14	295516599	Unreliable
	"2005"	"2005"	"Nonspecific mesenteric lymphadenitis"	"I88.0"	2	295516599	Unreliable
	"2005"	"2005"	"Nonspecific lymphadenitis, unspecified"	"I88.9"	3	295516599	Unreliable
	"2005"	"2005"	"Lymphoedema, not elsewhere classified"	"I89.0"	60	295516599	0.0
	"2005"	"2005"	"Lymphangitis"	"I89.1"	2	295516599	Unreliable
	"2005"	"2005"	"Other specified noninfective disorders of lymphatic vessels and lymph nodes"	"I89.8"	32	295516599	0.0
	"2005"	"2005"	"Noninfective disorder of lymphatic vessels and lymph nodes, unspecified"	"I89.9"	5	295516599	Unreliable
	"2005"	"2005"	"Idiopathic hypotension"	"I95.0"	3	295516599	Unreliable
	"2005"	"2005"	"Orthostatic hypotension"	"I95.1"	18	295516599	Unreliable
	"2005"	"2005"	"Hypotension due to drugs"	"I95.2"	1	295516599	Unreliable
	"2005"	"2005"	"Other hypotension"	"I95.8"	10	295516599	Unreliable
	"2005"	"2005"	"Hypotension, unspecified"	"I95.9"	210	295516599	0.1
	"2005"	"2005"	"Other and unspecified disorders of circulatory system"	"I99"	263	295516599	0.1
	"2006"	"2006"	"Rheumatic fever without mention of heart involvement"	"I00"	5	298379912	Unreliable
	"2006"	"2006"	"Acute rheumatic endocarditis"	"I01.1"	12	298379912	Unreliable
	"2006"	"2006"	"Other acute rheumatic heart disease"	"I01.8"	8	298379912	Unreliable
	"2006"	"2006"	"Mitral stenosis"	"I05.0"	389	298379912	0.1
	"2006"	"2006"	"Rheumatic mitral insufficiency"	"I05.1"	42	298379912	0.0
	"2006"	"2006"	"Mitral stenosis with insufficiency"	"I05.2"	32	298379912	0.0
	"2006"	"2006"	"Other mitral valve diseases"	"I05.8"	14	298379912	Unreliable
	"2006"	"2006"	"Mitral valve disease, unspecified"	"I05.9"	1026	298379912	0.3
	"2006"	"2006"	"Rheumatic aortic stenosis"	"I06.0"	67	298379912	0.0
	"2006"	"2006"	"Rheumatic aortic insufficiency"	"I06.1"	9	298379912	Unreliable
	"2006"	"2006"	"Rheumatic aortic stenosis with insufficiency"	"I06.2"	3	298379912	Unreliable
	"2006"	"2006"	"Rheumatic aortic valve disease, unspecified"	"I06.9"	14	298379912	Unreliable
	"2006"	"2006"	"Tricuspid stenosis"	"I07.0"	3	298379912	Unreliable
	"2006"	"2006"	"Tricuspid insufficiency"	"I07.1"	202	298379912	0.1
	"2006"	"2006"	"Other tricuspid valve diseases"	"I07.8"	29	298379912	0.0
	"2006"	"2006"	"Tricuspid valve disease, unspecified"	"I07.9"	20	298379912	0.0
	"2006"	"2006"	"Disorders of both mitral and aortic valves"	"I08.0"	690	298379912	0.2
	"2006"	"2006"	"Disorders of both mitral and tricuspid valves"	"I08.1"	100	298379912	0.0
	"2006"	"2006"	"Disorders of both aortic and tricuspid valves"	"I08.2"	12	298379912	Unreliable
	"2006"	"2006"	"Combined disorders of mitral, aortic and tricuspid valves"	"I08.3"	46	298379912	0.0
	"2006"	"2006"	"Other multiple valve diseases"	"I08.8"	8	298379912	Unreliable
	"2006"	"2006"	"Multiple valve disease, unspecified"	"I08.9"	10	298379912	Unreliable
	"2006"	"2006"	"Rheumatic myocarditis"	"I09.0"	24	298379912	0.0
	"2006"	"2006"	"Rheumatic diseases of endocardium, valve unspecified"	"I09.1"	156	298379912	0.1
	"2006"	"2006"	"Other specified rheumatic heart diseases"	"I09.8"	2	298379912	Unreliable
	"2006"	"2006"	"Rheumatic heart disease, unspecified"	"I09.9"	334	298379912	0.1
	"2006"	"2006"	"Essential (primary) hypertension"	"I10"	14024	298379912	4.7
	"2006"	"2006"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	10413	298379912	3.5
	"2006"	"2006"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	19375	298379912	6.5
	"2006"	"2006"	"Hypertensive renal disease with renal failure"	"I12.0"	9519	298379912	3.2
	"2006"	"2006"	"Hypertensive renal disease without renal failure"	"I12.9"	303	298379912	0.1
	"2006"	"2006"	"Hypertensive heart and renal disease with (congestive) heart failure"	"I13.0"	57	298379912	0.0
	"2006"	"2006"	"Hypertensive heart and renal disease with renal failure"	"I13.1"	1061	298379912	0.4
	"2006"	"2006"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	1755	298379912	0.6
	"2006"	"2006"	"Hypertensive heart and renal disease, unspecified"	"I13.9"	45	298379912	0.0
	"2006"	"2006"	"Renovascular hypertension"	"I15.0"	8	298379912	Unreliable
	"2006"	"2006"	"Secondary hypertension, unspecified"	"I15.9"	1	298379912	Unreliable
	"2006"	"2006"	"Unstable angina"	"I20.0"	30	298379912	0.0
	"2006"	"2006"	"Angina pectoris with documented spasm"	"I20.1"	1	298379912	Unreliable
	"2006"	"2006"	"Angina pectoris, unspecified"	"I20.9"	178	298379912	0.1
	"2006"	"2006"	"Acute transmural myocardial infarction of anterior wall"	"I21.0"	4	298379912	Unreliable
	"2006"	"2006"	"Acute transmural myocardial infarction of inferior wall"	"I21.1"	3	298379912	Unreliable
	"2006"	"2006"	"Acute transmural myocardial infarction of other sites"	"I21.2"	6	298379912	Unreliable
	"2006"	"2006"	"Acute transmural myocardial infarction of unspecified site"	"I21.3"	20	298379912	0.0
	"2006"	"2006"	"Acute subendocardial myocardial infarction"	"I21.4"	152	298379912	0.1
	"2006"	"2006"	"Acute myocardial infarction, unspecified"	"I21.9"	141196	298379912	47.3
	"2006"	"2006"	"Subsequent myocardial infarction of anterior wall"	"I22.0"	3	298379912	Unreliable
	"2006"	"2006"	"Subsequent myocardial infarction of unspecified site"	"I22.9"	78	298379912	0.0
	"2006"	"2006"	"Dressler syndrome"	"I24.1"	3	298379912	Unreliable
	"2006"	"2006"	"Other forms of acute ischaemic heart disease"	"I24.8"	1598	298379912	0.5
	"2006"	"2006"	"Acute ischaemic heart disease, unspecified"	"I24.9"	2331	298379912	0.8
	"2006"	"2006"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	61030	298379912	20.5
	"2006"	"2006"	"Atherosclerotic heart disease"	"I25.1"	193209	298379912	64.8
	"2006"	"2006"	"Aneurysm of heart"	"I25.3"	85	298379912	0.0
	"2006"	"2006"	"Coronary artery aneurysm"	"I25.4"	13	298379912	Unreliable
	"2006"	"2006"	"Ischaemic cardiomyopathy"	"I25.5"	11906	298379912	4.0
	"2006"	"2006"	"Silent myocardial ischaemia"	"I25.6"	1	298379912	Unreliable
	"2006"	"2006"	"Other forms of chronic ischaemic heart disease"	"I25.8"	1770	298379912	0.6
	"2006"	"2006"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	11808	298379912	4.0
	"2006"	"2006"	"Pulmonary embolism with mention of acute cor pulmonale"	"I26.0"	14	298379912	Unreliable
	"2006"	"2006"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	6910	298379912	2.3
	"2006"	"2006"	"Primary pulmonary hypertension"	"I27.0"	307	298379912	0.1
	"2006"	"2006"	"Kyphoscoliotic heart disease"	"I27.1"	49	298379912	0.0
	"2006"	"2006"	"Other secondary pulmonary hypertension"	"I27.2"	3956	298379912	1.3
	"2006"	"2006"	"Other specified pulmonary heart diseases"	"I27.8"	37	298379912	0.0
	"2006"	"2006"	"Pulmonary heart disease, unspecified"	"I27.9"	1044	298379912	0.3
	"2006"	"2006"	"Arteriovenous fistula of pulmonary vessels"	"I28.0"	2	298379912	Unreliable
	"2006"	"2006"	"Aneurysm of pulmonary artery"	"I28.1"	15	298379912	Unreliable
	"2006"	"2006"	"Other specified diseases of pulmonary vessels"	"I28.8"	24	298379912	0.0
	"2006"	"2006"	"Disease of pulmonary vessels, unspecified"	"I28.9"	29	298379912	0.0
	"2006"	"2006"	"Acute nonspecific idiopathic pericarditis"	"I30.0"	3	298379912	Unreliable
	"2006"	"2006"	"Infective pericarditis"	"I30.1"	28	298379912	0.0
	"2006"	"2006"	"Other forms of acute pericarditis"	"I30.8"	7	298379912	Unreliable
	"2006"	"2006"	"Acute pericarditis, unspecified"	"I30.9"	11	298379912	Unreliable
	"2006"	"2006"	"Chronic adhesive pericarditis"	"I31.0"	3	298379912	Unreliable
	"2006"	"2006"	"Chronic constrictive pericarditis"	"I31.1"	52	298379912	0.0
	"2006"	"2006"	"Haemopericardium, not elsewhere classified"	"I31.2"	26	298379912	0.0
	"2006"	"2006"	"Pericardial effusion (noninflammatory)"	"I31.3"	180	298379912	0.1
	"2006"	"2006"	"Disease of pericardium, unspecified"	"I31.9"	247	298379912	0.1
	"2006"	"2006"	"Acute and subacute infective endocarditis"	"I33.0"	1175	298379912	0.4
	"2006"	"2006"	"Acute endocarditis, unspecified"	"I33.9"	41	298379912	0.0
	"2006"	"2006"	"Mitral (valve) insufficiency"	"I34.0"	2089	298379912	0.7
	"2006"	"2006"	"Mitral (valve) prolapse"	"I34.1"	280	298379912	0.1
	"2006"	"2006"	"Nonrheumatic mitral (valve) stenosis"	"I34.2"	16	298379912	Unreliable
	"2006"	"2006"	"Other nonrheumatic mitral valve disorders"	"I34.8"	107	298379912	0.0
	"2006"	"2006"	"Nonrheumatic mitral valve disorder, unspecified"	"I34.9"	89	298379912	0.0
	"2006"	"2006"	"Aortic (valve) stenosis"	"I35.0"	11567	298379912	3.9
	"2006"	"2006"	"Aortic (valve) insufficiency"	"I35.1"	508	298379912	0.2
	"2006"	"2006"	"Aortic (valve) stenosis with insufficiency"	"I35.2"	79	298379912	0.0
	"2006"	"2006"	"Other aortic valve disorders"	"I35.8"	180	298379912	0.1
	"2006"	"2006"	"Aortic valve disorder, unspecified"	"I35.9"	1418	298379912	0.5
	"2006"	"2006"	"Nonrheumatic tricuspid (valve) insufficiency"	"I36.1"	8	298379912	Unreliable
	"2006"	"2006"	"Other nonrheumatic tricuspid valve disorders"	"I36.8"	1	298379912	Unreliable
	"2006"	"2006"	"Nonrheumatic tricuspid valve disorder, unspecified"	"I36.9"	3	298379912	Unreliable
	"2006"	"2006"	"Pulmonary valve stenosis"	"I37.0"	3	298379912	Unreliable
	"2006"	"2006"	"Pulmonary valve insufficiency"	"I37.1"	1	298379912	Unreliable
	"2006"	"2006"	"Other pulmonary valve disorders"	"I37.8"	5	298379912	Unreliable
	"2006"	"2006"	"Pulmonary valve disorder, unspecified"	"I37.9"	3	298379912	Unreliable
	"2006"	"2006"	"Endocarditis, valve unspecified"	"I38"	5029	298379912	1.7
	"2006"	"2006"	"Infective myocarditis"	"I40.0"	179	298379912	0.1
	"2006"	"2006"	"Isolated myocarditis"	"I40.1"	13	298379912	Unreliable
	"2006"	"2006"	"Acute myocarditis, unspecified"	"I40.9"	67	298379912	0.0
	"2006"	"2006"	"Dilated cardiomyopathy"	"I42.0"	5129	298379912	1.7
	"2006"	"2006"	"Obstructive hypertrophic cardiomyopathy"	"I42.1"	162	298379912	0.1
	"2006"	"2006"	"Other hypertrophic cardiomyopathy"	"I42.2"	1107	298379912	0.4
	"2006"	"2006"	"Endomyocardial (eosinophilic) disease"	"I42.3"	6	298379912	Unreliable
	"2006"	"2006"	"Endocardial fibroelastosis"	"I42.4"	74	298379912	0.0
	"2006"	"2006"	"Other restrictive cardiomyopathy"	"I42.5"	139	298379912	0.0
	"2006"	"2006"	"Alcoholic cardiomyopathy"	"I42.6"	423	298379912	0.1
	"2006"	"2006"	"Cardiomyopathy due to drugs and other external agents"	"I42.7"	9	298379912	Unreliable
	"2006"	"2006"	"Other cardiomyopathies"	"I42.8"	86	298379912	0.0
	"2006"	"2006"	"Cardiomyopathy, unspecified"	"I42.9"	17568	298379912	5.9
	"2006"	"2006"	"Atrioventricular block, first degree"	"I44.0"	1	298379912	Unreliable
	"2006"	"2006"	"Atrioventricular block, second degree"	"I44.1"	12	298379912	Unreliable
	"2006"	"2006"	"Atrioventricular block, complete"	"I44.2"	325	298379912	0.1
	"2006"	"2006"	"Other and unspecified atrioventricular block"	"I44.3"	24	298379912	0.0
	"2006"	"2006"	"Left bundle-branch block, unspecified"	"I44.7"	9	298379912	Unreliable
	"2006"	"2006"	"Other and unspecified right bundle-branch block"	"I45.1"	7	298379912	Unreliable
	"2006"	"2006"	"Bifascicular block"	"I45.2"	2	298379912	Unreliable
	"2006"	"2006"	"Nonspecific intraventricular block"	"I45.4"	2	298379912	Unreliable
	"2006"	"2006"	"Other specified heart block"	"I45.5"	3	298379912	Unreliable
	"2006"	"2006"	"Pre-excitation syndrome"	"I45.6"	29	298379912	0.0
	"2006"	"2006"	"Other specified conduction disorders"	"I45.8"	336	298379912	0.1
	"2006"	"2006"	"Conduction disorder, unspecified"	"I45.9"	129	298379912	0.0
	"2006"	"2006"	"Sudden cardiac death, so described"	"I46.1"	2783	298379912	0.9
	"2006"	"2006"	"Cardiac arrest, unspecified"	"I46.9"	12611	298379912	4.2
	"2006"	"2006"	"Supraventricular tachycardia"	"I47.1"	125	298379912	0.0
	"2006"	"2006"	"Ventricular tachycardia"	"I47.2"	447	298379912	0.1
	"2006"	"2006"	"Paroxysmal tachycardia, unspecified"	"I47.9"	3	298379912	Unreliable
	"2006"	"2006"	"Atrial fibrillation and flutter"	"I48"	11438	298379912	3.8
	"2006"	"2006"	"Ventricular fibrillation and flutter"	"I49.0"	1014	298379912	0.3
	"2006"	"2006"	"Ventricular premature depolarization"	"I49.3"	10	298379912	Unreliable
	"2006"	"2006"	"Sick sinus syndrome"	"I49.5"	403	298379912	0.1
	"2006"	"2006"	"Other specified cardiac arrhythmias"	"I49.8"	103	298379912	0.0
	"2006"	"2006"	"Cardiac arrhythmia, unspecified"	"I49.9"	7923	298379912	2.7
	"2006"	"2006"	"Congestive heart failure"	"I50.0"	55923	298379912	18.7
	"2006"	"2006"	"Left ventricular failure"	"I50.1"	120	298379912	0.0
	"2006"	"2006"	"Heart failure, unspecified"	"I50.9"	4294	298379912	1.4
	"2006"	"2006"	"Cardiac septal defect, acquired"	"I51.0"	12	298379912	Unreliable
	"2006"	"2006"	"Rupture of chordae tendineae, not elsewhere classified"	"I51.1"	9	298379912	Unreliable
	"2006"	"2006"	"Rupture of papillary muscle, not elsewhere classified"	"I51.2"	6	298379912	Unreliable
	"2006"	"2006"	"Intracardiac thrombosis, not elsewhere classified"	"I51.3"	19	298379912	Unreliable
	"2006"	"2006"	"Myocarditis, unspecified"	"I51.4"	531	298379912	0.2
	"2006"	"2006"	"Myocardial degeneration"	"I51.5"	147	298379912	0.0
	"2006"	"2006"	"Cardiovascular disease, unspecified"	"I51.6"	4781	298379912	1.6
	"2006"	"2006"	"Cardiomegaly"	"I51.7"	1684	298379912	0.6
	"2006"	"2006"	"Other ill-defined heart diseases"	"I51.8"	768	298379912	0.3
	"2006"	"2006"	"Heart disease, unspecified"	"I51.9"	3707	298379912	1.2
	"2006"	"2006"	"Subarachnoid haemorrhage from carotid siphon and bifurcation"	"I60.0"	85	298379912	0.0
	"2006"	"2006"	"Subarachnoid haemorrhage from other intracranial arteries"	"I60.6"	72	298379912	0.0
	"2006"	"2006"	"Subarachnoid haemorrhage from intracranial artery, unspecified"	"I60.7"	430	298379912	0.1
	"2006"	"2006"	"Other subarachnoid haemorrhage"	"I60.8"	197	298379912	0.1
	"2006"	"2006"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	5062	298379912	1.7
	"2006"	"2006"	"Intracerebral haemorrhage in hemisphere, subcortical"	"I61.0"	210	298379912	0.1
	"2006"	"2006"	"Intracerebral haemorrhage in hemisphere, cortical"	"I61.1"	186	298379912	0.1
	"2006"	"2006"	"Intracerebral haemorrhage in hemisphere, unspecified"	"I61.2"	44	298379912	0.0
	"2006"	"2006"	"Intracerebral haemorrhage in brain stem"	"I61.3"	650	298379912	0.2
	"2006"	"2006"	"Intracerebral haemorrhage in cerebellum"	"I61.4"	530	298379912	0.2
	"2006"	"2006"	"Intracerebral haemorrhage, intraventricular"	"I61.5"	709	298379912	0.2
	"2006"	"2006"	"Other intracerebral haemorrhage"	"I61.8"	62	298379912	0.0
	"2006"	"2006"	"Intracerebral haemorrhage, unspecified"	"I61.9"	15236	298379912	5.1
	"2006"	"2006"	"Subdural haemorrhage (acute)(nontraumatic)"	"I62.0"	1941	298379912	0.7
	"2006"	"2006"	"Nontraumatic extradural haemorrhage"	"I62.1"	11	298379912	Unreliable
	"2006"	"2006"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	7637	298379912	2.6
	"2006"	"2006"	"Cerebral infarction due to thrombosis of precerebral arteries"	"I63.0"	145	298379912	0.0
	"2006"	"2006"	"Cerebral infarction due to embolism of precerebral arteries"	"I63.1"	15	298379912	Unreliable
	"2006"	"2006"	"Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries"	"I63.2"	677	298379912	0.2
	"2006"	"2006"	"Cerebral infarction due to thrombosis of cerebral arteries"	"I63.3"	1116	298379912	0.4
	"2006"	"2006"	"Cerebral infarction due to embolism of cerebral arteries"	"I63.4"	601	298379912	0.2
	"2006"	"2006"	"Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries"	"I63.5"	198	298379912	0.1
	"2006"	"2006"	"Other cerebral infarction"	"I63.8"	146	298379912	0.0
	"2006"	"2006"	"Cerebral infarction, unspecified"	"I63.9"	4139	298379912	1.4
	"2006"	"2006"	"Stroke, not specified as haemorrhage or infarction"	"I64"	72476	298379912	24.3
	"2006"	"2006"	"Dissection of cerebral arteries, nonruptured"	"I67.0"	20	298379912	0.0
	"2006"	"2006"	"Cerebral aneurysm, nonruptured"	"I67.1"	360	298379912	0.1
	"2006"	"2006"	"Cerebral atherosclerosis"	"I67.2"	887	298379912	0.3
	"2006"	"2006"	"Progressive vascular leukoencephalopathy"	"I67.3"	19	298379912	Unreliable
	"2006"	"2006"	"Hypertensive encephalopathy"	"I67.4"	80	298379912	0.0
	"2006"	"2006"	"Moyamoya disease"	"I67.5"	10	298379912	Unreliable
	"2006"	"2006"	"Cerebral arteritis, not elsewhere classified"	"I67.7"	73	298379912	0.0
	"2006"	"2006"	"Other specified cerebrovascular diseases"	"I67.8"	986	298379912	0.3
	"2006"	"2006"	"Cerebrovascular disease, unspecified"	"I67.9"	5455	298379912	1.8
	"2006"	"2006"	"Sequelae of subarachnoid haemorrhage"	"I69.0"	76	298379912	0.0
	"2006"	"2006"	"Sequelae of intracerebral haemorrhage"	"I69.1"	170	298379912	0.1
	"2006"	"2006"	"Sequelae of other nontraumatic intracranial haemorrhage"	"I69.2"	157	298379912	0.1
	"2006"	"2006"	"Sequelae of cerebral infarction"	"I69.3"	628	298379912	0.2
	"2006"	"2006"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	8919	298379912	3.0
	"2006"	"2006"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	6704	298379912	2.2
	"2006"	"2006"	"Atherosclerosis of aorta"	"I70.0"	31	298379912	0.0
	"2006"	"2006"	"Atherosclerosis of renal artery"	"I70.1"	47	298379912	0.0
	"2006"	"2006"	"Atherosclerosis of arteries of extremities"	"I70.2"	302	298379912	0.1
	"2006"	"2006"	"Atherosclerosis of other arteries"	"I70.8"	4	298379912	Unreliable
	"2006"	"2006"	"Generalized and unspecified atherosclerosis"	"I70.9"	8268	298379912	2.8
	"2006"	"2006"	"Dissection of aorta [any part]"	"I71.0"	3605	298379912	1.2
	"2006"	"2006"	"Thoracic aortic aneurysm, ruptured"	"I71.1"	779	298379912	0.3
	"2006"	"2006"	"Thoracic aortic aneurysm, without mention of rupture"	"I71.2"	699	298379912	0.2
	"2006"	"2006"	"Abdominal aortic aneurysm, ruptured"	"I71.3"	3979	298379912	1.3
	"2006"	"2006"	"Abdominal aortic aneurysm, without mention of rupture"	"I71.4"	1948	298379912	0.7
	"2006"	"2006"	"Thoracoabdominal aortic aneurysm, ruptured"	"I71.5"	120	298379912	0.0
	"2006"	"2006"	"Thoracoabdominal aortic aneurysm, without mention of rupture"	"I71.6"	155	298379912	0.1
	"2006"	"2006"	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	1259	298379912	0.4
	"2006"	"2006"	"Aortic aneurysm of unspecified site, without mention of rupture"	"I71.9"	694	298379912	0.2
	"2006"	"2006"	"Aneurysm of carotid artery"	"I72.0"	17	298379912	Unreliable
	"2006"	"2006"	"Aneurysm of renal artery"	"I72.2"	25	298379912	0.0
	"2006"	"2006"	"Aneurysm of iliac artery"	"I72.3"	118	298379912	0.0
	"2006"	"2006"	"Aneurysm of artery of lower extremity"	"I72.4"	54	298379912	0.0
	"2006"	"2006"	"Aneurysm of other specified arteries"	"I72.8"	94	298379912	0.0
	"2006"	"2006"	"Aneurysm of unspecified site"	"I72.9"	354	298379912	0.1
	"2006"	"2006"	"Raynaud syndrome"	"I73.0"	14	298379912	Unreliable
	"2006"	"2006"	"Thromboangiitis obliterans [Buerger]"	"I73.1"	14	298379912	Unreliable
	"2006"	"2006"	"Other specified peripheral vascular diseases"	"I73.8"	21	298379912	0.0
	"2006"	"2006"	"Peripheral vascular disease, unspecified"	"I73.9"	6936	298379912	2.3
	"2006"	"2006"	"Embolism and thrombosis of abdominal aorta"	"I74.0"	39	298379912	0.0
	"2006"	"2006"	"Embolism and thrombosis of other and unspecified parts of aorta"	"I74.1"	142	298379912	0.0
	"2006"	"2006"	"Embolism and thrombosis of arteries of upper extremities"	"I74.2"	6	298379912	Unreliable
	"2006"	"2006"	"Embolism and thrombosis of arteries of lower extremities"	"I74.3"	86	298379912	0.0
	"2006"	"2006"	"Embolism and thrombosis of arteries of extremities, unspecified"	"I74.4"	21	298379912	0.0
	"2006"	"2006"	"Embolism and thrombosis of iliac artery"	"I74.5"	10	298379912	Unreliable
	"2006"	"2006"	"Embolism and thrombosis of other arteries"	"I74.8"	22	298379912	0.0
	"2006"	"2006"	"Embolism and thrombosis of unspecified artery"	"I74.9"	265	298379912	0.1
	"2006"	"2006"	"Arteriovenous fistula, acquired"	"I77.0"	53	298379912	0.0
	"2006"	"2006"	"Stricture of artery"	"I77.1"	102	298379912	0.0
	"2006"	"2006"	"Rupture of artery"	"I77.2"	143	298379912	0.0
	"2006"	"2006"	"Arterial fibromuscular dysplasia"	"I77.3"	4	298379912	Unreliable
	"2006"	"2006"	"Coeliac artery compression syndrome"	"I77.4"	2	298379912	Unreliable
	"2006"	"2006"	"Arteritis, unspecified"	"I77.6"	362	298379912	0.1
	"2006"	"2006"	"Other specified disorders of arteries and arterioles"	"I77.8"	25	298379912	0.0
	"2006"	"2006"	"Disorder of arteries and arterioles, unspecified"	"I77.9"	257	298379912	0.1
	"2006"	"2006"	"Hereditary haemorrhagic telangiectasia"	"I78.0"	37	298379912	0.0
	"2006"	"2006"	"Naevus, non-neoplastic"	"I78.1"	11	298379912	Unreliable
	"2006"	"2006"	"Other diseases of capillaries"	"I78.8"	11	298379912	Unreliable
	"2006"	"2006"	"Disease of capillaries, unspecified"	"I78.9"	1	298379912	Unreliable
	"2006"	"2006"	"Phlebitis and thrombophlebitis of superficial vessels of lower extremities"	"I80.0"	2	298379912	Unreliable
	"2006"	"2006"	"Phlebitis and thrombophlebitis of femoral vein"	"I80.1"	14	298379912	Unreliable
	"2006"	"2006"	"Phlebitis and thrombophlebitis of other deep vessels of lower extremities"	"I80.2"	2328	298379912	0.8
	"2006"	"2006"	"Phlebitis and thrombophlebitis of lower extremities, unspecified"	"I80.3"	153	298379912	0.1
	"2006"	"2006"	"Phlebitis and thrombophlebitis of other sites"	"I80.8"	8	298379912	Unreliable
	"2006"	"2006"	"Phlebitis and thrombophlebitis of unspecified site"	"I80.9"	96	298379912	0.0
